word_id,word_glyph,morpheme_count,total_frequency,confidence,average_morpheme_confidence,verification_status,potential_meaning,morphemes
top_001,<!,2,0,0.0,0.0,unverified,,< + !
top_064,s,1,0,0.0,0.0,unverified,,s
top_074,$H=5,4,0,0.0,0.0,unverified,,$ + H + = + 5
top_073,$I=T,4,0,0.0,0.0,unverified,,$ + I + = + T
top_072,okeody,6,0,0.0,0.0,unverified,,o + k + e + o + d + y
top_071,d,1,0,0.0,0.0,unverified,,d
top_070,$C=4>,5,0,0.0,0.0,unverified,,$ + C + = + 4 + >
top_069,$B=5,4,0,0.0,0.0,unverified,,$ + B + = + 5
top_068,$Q=K,4,0,0.0,0.0,unverified,,$ + Q + = + K
top_067,$I=A,4,0,0.0,0.0,unverified,,$ + I + = + A
top_066,$Q=H,4,0,0.0,0.0,unverified,,$ + Q + = + H
top_065,?,1,0,0.0,0.0,unverified,,?
top_063,$C=1,4,0,0.0,0.0,unverified,,$ + C + = + 1
top_002,$I=H,4,0,0.0,0.0,unverified,,$ + I + = + H
top_062,$Q=S,4,0,0.0,0.0,unverified,,$ + Q + = + S
top_061,$Q=Q,4,0,0.0,0.0,unverified,,$ + Q + = + Q
top_060,$Q=I,4,0,0.0,0.0,unverified,,$ + Q + = + I
top_059,$I=C,4,0,0.0,0.0,unverified,,$ + I + = + C
top_058,y,1,0,0.0,0.0,unverified,,y
top_057,$P=K,4,0,0.0,0.0,unverified,,$ + P + = + K
top_056,o,1,0,0.0,0.0,unverified,,o
top_055,$P=N,4,0,0.0,0.0,unverified,,$ + P + = + N
top_054,$Q=O,4,0,0.0,0.0,unverified,,$ + Q + = + O
top_053,$X=M>,5,0,0.0,0.0,unverified,,$ + X + = + M + >
top_075,r,1,0,0.0,0.0,unverified,,r
top_076,$Q=J,4,0,0.0,0.0,unverified,,$ + Q + = + J
top_077,otaly,5,0,0.0,0.0,unverified,,o + t + a + l + y
top_078,$Q=N,4,0,0.0,0.0,unverified,,$ + Q + = + N
top_099,#,1,0,0.0,0.0,unverified,,#
top_098,$B=6,4,0,0.0,0.0,unverified,,$ + B + = + 6
top_097,$F=v,4,0,0.0,0.0,unverified,,$ + F + = + v
top_096,$F=e,4,0,0.0,0.0,unverified,,$ + F + = + e
top_095,okol,4,0,0.0,0.0,unverified,,o + k + o + l
top_094,okeos,5,0,0.0,0.0,unverified,,o + k + e + o + s
top_093,okary,5,0,0.0,0.0,unverified,,o + k + a + r + y
top_092,otoly,5,0,0.0,0.0,unverified,,o + t + o + l + y
top_091,otal,4,0,0.0,0.0,unverified,,o + t + a + l
top_090,okeod,5,0,0.0,0.0,unverified,,o + k + e + o + d
top_089,otoldy,6,0,0.0,0.0,unverified,,o + t + o + l + d + y
